token_id,enterer,utterance_id,irrel,embed,compar,neg_pres,neg_even,sent_neg,position,focus,likely,comment,embed_assoc,part_of_speech.u,stem.u,speaker_id,utterance_order,transcript_id,gloss,num_tokens,stem.t,part_of_speech.t,speaker_code,speaker_name,speaker_role,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,num_morphemes,corpus_name
13152840,Yadav,3316535,0,0,0,No,N/A,No,Pre-Subject,Subject,Least-likely,,0,adv,even,5006,1116,7535,even the cooker's mine,4,even the cook mine,adv det:art n pro:poss,SIS,NA,Sister,1563.3125,Laura,female,declarative,2118.399,2117.122,s,7,Braunwald
13153625,Yadav,3316752,0,0,0,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adv,even,5006,1801,7505,even if it's low,4,even if it low,adv conj pro:per adj,SIS,NA,Sister,1296.375,Laura,female,declarative,3402.04,3400.101,s,5,Braunwald
13154662,Yadav,3317055,0,0,0,No,N/A,No,Post-Subject,Verb,Most-likely,without DE,0,adv,even,5006,1704,7502,and you and he can get her to sleep without even nursing,12,and he can get her to sleep without even nurse,coord pro:sub mod v pro:obj prep n prep adv part,SIS,NA,Sister,1275.9375,Laura,female,declarative,3237.877,3234.545,s,11,Braunwald
13164246,Yadav,3319859,0,0,1,No,N/A,No,Post-Subject,Adjunct,Least-likely,without DE,0,adv,even,5006,22,7838,ow this is even a badder cut than my sprained ankle,11,ow this be even a bad cut than my sprain ankle,co pro:dem cop adv det:art adj n prep det:poss part n,SIS,NA,Sister,756.5,Laura,female,declarative,NA,NA,NA,14,Braunwald
13169577,Yadav,3321286,0,0,0,No,N/A,No,Pre-Subject,Subject,Least-likely,,0,adv,even,5008,23,7874,even Daddy fits on this chair,6,even Daddy fit on this chair,adv n:prop v prep pro:dem n,MOT,NA,Mother,795.375,Laura,female,declarative,NA,NA,NA,7,Braunwald
13190242,Yadav,3325863,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Object,Most-likely,,0,adv,even,5008,1776,7545,I don't even know what you're talking about,8,I do even know what you talk about,pro:sub mod adv v pro:int pro:per part adv,MOT,NA,Mother,1765.375,Laura,female,declarative,4686.402,4684.684,s,11,Braunwald
13200387,Yadav,3327840,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Adjunct,Most-likely,,0,adv,even,5008,12,8224,you're not even supposed to be on it,8,you not even suppose to be on it,pro:per neg adv part inf cop prep pro:per,MOT,NA,Mother,1222.5,Laura,female,declarative,NA,NA,NA,10,Braunwald
13201501,Yadav,3328064,0,0,0,No,N/A,No,Pre-Subject,Adjunct,Least-likely,,0,adv,even,5007,2,8246,even when we have a fight I love you and I love Joanna too,14,even when we have a fight I love you and I love Joanna too,adv conj pro:sub v det:art n pro:sub v pro:per coord pro:sub v n:prop post,FAT,NA,Father,1244.5,Laura,female,declarative,NA,NA,NA,14,Braunwald
13205765,Yadav,3329430,0,0,0,No,N/A,No,Post-Subject,Object,Least-likely,,0,adv,even,5026,48,8250,and you even have a little catnap,7,and you even have a little,coord pro:per adv v det:art adj,MOT,Debby,Mother,182.1875,Joseph,male,declarative,98.997,97.185,s,6,Soderstrom
13209023,Yadav,3330559,0,0,0,No,N/A,No,Post-Subject,Object,Least-likely,,0,adv,even,5026,173,8251,you even got the cabinet,5,you even get the cabinet,pro:per adv v det:art n,MOT,Debby,Mother,193.625,Joseph,male,declarative,356.608,355.441,s,6,Soderstrom
13209801,Yadav,3330703,0,0,0,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adj,even,5030,177,8255,you're just gonna have_to look at them and then if they you don't see anything obvious we'll just wash them even if they're washed twice,25,you just go have_to look at them and then if you do see anything obvious we just wash them even if they wash twice,pro:per adv part mod:aux cop prep pro:obj coord adv:tem conj pro:per mod v pro:indef adj pro:sub adj n pro:obj adj conj pro:sub part adv,MOT,NA,Mother,252.5,Joseph,male,declarative,388.336,382.032,s,31,Soderstrom
13211730,Yadav,3331408,0,0,0,No,N/A,No,Post-Subject,Unclear,Unclear,,0,adj,even,5030,205,8255,you even wanna hey you wanna put it in,9,you even hey you want put it in,pro:per adj co pro:per v v pro:per adv,MOT,NA,Mother,252.5,Joseph,male,question,431.74,429.996,s,10,Soderstrom
13214561,Yadav,3332286,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Object,Most-likely,,0,adv,even,5030,103,8254,but that means that we don't even have enough shirts for a week,13,but that mean that we do even have enough shirt for a week,conj pro:dem v pro:rel pro:sub mod adv v qn n prep det:art n,MOT,NA,Mother,244.5,Joseph,male,question,170.179,167.731,s,16,Soderstrom
13217582,Yadav,3333201,1,0,0,No,N/A,No,Pre-Subject,Subject,Most-likely,,0,adv,even,5037,143,8273,alright that's pretty much even,5,alright that pretty much even,co pro:dem adv qn adv,MOT,NA,Mother,221.0625,Theo,male,declarative,418.204,415.239,s,6,Soderstrom
13222073,Yadav,3334624,0,0,0,No,N/A,No,Post-Subject,Object,Least-likely,,0,adv,even,5030,218,8257,even towels,2,even towel,adv n,MOT,NA,Mother,272.5,Joseph,male,declarative,531.691,530.427,s,3,Soderstrom
13225506,Yadav,3335687,0,0,1,No,N/A,No,Post-Subject,Object,Least-likely,,0,adj,even,5030,270,8253,you can sit and play yes and I'll even feed you more maybe,13,you can sit and play yes and I even feed you more maybe,pro:per mod v coord n co coord pro:sub adj n pro:per adv adv,MOT,NA,Mother,230.0625,Joseph,male,declarative,620.275,616.691,s,14,Soderstrom
13225977,Yadav,3335891,0,0,1,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adv,even,5037,17,8278,he's even littler than you,5,he even little than you,pro:sub adv adj prep pro:per,MOT,NA,Mother,232.0625,Theo,male,declarative,48.023,45.685,s,7,Soderstrom
13226044,Yadav,3335904,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Object,Most-likely,,0,v,even,5030,206,8258,no I didn't even get to build xxx,8,no I do even get to build,co pro:sub mod v v inf v,MOT,NA,Mother,274.9375,Joseph,male,declarative,527.61,525.082,s,9,Soderstrom
13227541,Yadav,3336313,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Adjunct,Most-likely,,0,adv,even,5008,2492,7545,but don't I have the same amount of water even if I put it in the other cup,18,but do I have the same amount of water even if I put it in the other cup,conj mod pro:sub v det:art adj n prep n adv conj pro:sub v pro:per prep det:art qn n,MOT,NA,Mother,1765.375,Laura,female,question,5847.287,5843.386,s,20,Braunwald
13228080,Yadav,3336500,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Adjunct,Most-likely,,0,adv,even,5037,85,8277,not even close,3,not even close,neg adv adj,MOT,NA,Mother,232.0625,Theo,male,declarative,253.747,250.867,s,3,Soderstrom
13229505,Yadav,3336962,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Object,Most-likely,,0,adv,even,5037,60,8278,I can't even figure out how these things work,9,I can even figure out how these thing work,pro:sub mod adv v adv adv:int pro:dem n n,MOT,NA,Mother,232.0625,Theo,male,declarative,196.175,192.125,s,11,Soderstrom
13229852,Yadav,3337041,0,0,0,No,N/A,No,Post-Subject,Object,Least-likely,,0,adv,even,5030,266,8254,um and I was even thinking maybe after the picnic I'd do a Rentham run,15,and I be even think maybe after the picnic I do a Rentham run,coord pro:sub aux adv part adv conj det:art n pro:sub v det:art n:prop n,MOT,NA,Mother,244.5,Joseph,male,declarative,508.694,505.014,s,18,Soderstrom
13230381,Yadav,3337188,0,0,0,No,N/A,No,Pre-Subject,Adjunct,Least-likely,,0,adv,even,5030,271,8254,mean even if it goes a little bit late I could still run up with my mother or whatever depending on who's here,23,mean even if it go a little bit late I could still run up with my mother or whatever depend on who here,v adv conj pro:per v det:art adj n adj pro:sub mod adv v adv prep det:poss n coord pro:int part prep pro:rel adv,MOT,NA,Mother,244.5,Joseph,male,declarative,518.406,513.11,s,26,Soderstrom
13230804,Yadav,3337307,0,0,0,No,N/A,No,Post-Subject,Verb,Least-likely,,0,adv,even,5030,272,8254,my aunt and uncle might even want to go who knows,11,my aunt and uncle might even want to go who know,det:poss n coord n mod adv v inf v pro:rel v,MOT,NA,Mother,244.5,Joseph,male,declarative,520.47,518.374,s,12,Soderstrom
13231671,Yadav,3337554,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Verb,Most-likely,,0,adv,even,5030,449,8259,way too little to go in your mouth you couldn't even chew on it,14,way too little to go in your mouth you could even chew on it,n adv adj inf v prep det:poss n pro:per mod adv v prep pro:per,MOT,NA,Mother,288.9375,Joseph,male,declarative,1085.681,1082.273,s,15,Soderstrom
13231673,Yadav,3337599,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Adjunct,Most-likely,,0,adv,even,5026,397,8250,that one isn't even wet,5,that one be even wet,pro:dem pro:indef cop adv part,MOT,Debby,Mother,182.1875,Joseph,male,declarative,796.245,794.886,s,8,Soderstrom
